# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957eefdb540
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0dd6e49f9f80,memcpyHtoD,0.928,5.08,,,,,,,,,0,0,4,0
11cb0dd6e7a802e0,memcpyHtoD,0.96,2.88,,,,,,,,,0,0,4,0
11cb0dd6e7ac8bc0,memcpyHtoD,155.52,444.36,,,,,,,,,0,0,245760,0
11cb0dd6ea8d40c0,memcpyHtoD,1.024,6,,,,,,,,,0,0,8,0
11cb0dd6ed974100,memcpyHtoD,0.96,2.92,,,,,,,,,0,0,8,0
11cb0dd6ef173540,memcpyHtoD,155.264,420.24,,,,,,,,,0,0,245760,0
11cb0dd6f5235ca0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,156.48,10287.4,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,4032,491520,1920,4,0,7680,7680,4000,25056,0,0,4032,168,7680,0,0,336,4000,240,7680,8964969,7630,8964776,0,256,32,1024,0,118678065,5134345,0,0
11cb0dd6f71966e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.04,10051.5,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3487,491520,1920,4,0,7680,7680,3356,25056,0,0,3459,168,7680,0,0,320,3428,120,7680,8964941,7642,8964776,0,256,32,1024,0,118680258,5131312,0,0
11cb0dd6f86bffe0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.2,10035.4,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3395,491520,1920,4,0,7680,7680,3284,25056,0,0,3511,144,7680,0,0,312,3316,192,7680,8964938,7640,8964776,0,256,32,1024,0,118653597,5132338,0,0
11cb0dd6fda9f720,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,165.696,9960.76,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3447,491520,1920,4,0,7680,7680,3420,25056,0,0,3351,156,7680,0,0,351,3480,120,7680,8964937,7616,8964776,0,256,32,1024,0,118631202,5132880,0,0
