# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cd67da37ffe0a0
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cd70f24fbaca00,memcpyHtoD,1.76,5.88,,,,,,,,,,0,0,2048,0
11cd70f24fbdce40,memcpyHtoD,1.856,3.4,,,,,,,,,,0,0,2048,0
11cd70f24fc31d20,memcpyHtoD,1.792,2.92,,,,,,,,,,0,0,2048,0
11cd70f24fc490e0,memcpyHtoD,1.664,2.8,,,,,,,,,,0,0,2048,0
11cd70f24fc5e580,memcpyHtoD,1.824,2.84,,,,,,,,,,0,0,2048,0
11cd70f24fc86360,memcpyHtoD,1.792,2.72,,,,,,,,,,0,0,2048,0
11cd70f24fc877a0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,10645.3,10746.9,0.333,1,1,512,1,1,0,10260,31,0,-1,,0,0,0,832,32,64,64,68,255742,5752,1,0,64,64,13,766232,0,0,13,48,64,702,0,800,74,48,64,5722678,32,5718375,0,32,16,512,4254,89647047,5603247,0,0
11cd70f250765740,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,10641.8,10693.8,0.333,1,1,512,1,1,0,10260,31,0,-1,,0,0,0,832,32,64,64,0,255742,5752,1,0,64,64,0,766232,0,0,0,48,64,702,0,800,0,48,64,5722686,32,5718375,0,32,16,512,4254,89622391,5601695,0,0
11cd70f25123d920,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,10642.3,10697.8,0.333,1,1,512,1,1,0,10260,31,0,-1,,0,0,0,832,32,64,64,0,255742,5752,1,0,64,64,0,766232,0,0,0,48,64,702,0,800,0,48,64,5722686,32,5718375,0,32,16,512,4254,89626775,5601695,0,0
11cd70f251d306a0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,10642.3,10787.3,0.333,1,1,512,1,1,0,10260,31,0,-1,,0,0,0,832,32,64,64,0,255742,5752,1,0,64,64,0,766232,0,0,0,48,64,702,0,800,0,48,64,5722686,32,5718375,0,32,16,512,4254,89626773,5601695,0,0
