# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957f373c2b0
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0c51bdeeb240,memcpyHtoD,31.84,91.52,,,,,,,,,,0,0,51200,0
11cb0c51bdf046e0,memcpyHtoD,15.744,65.88,,,,,,,,,,0,0,25600,0
11cb0c51bdf58440,_Z9matrixMulPfS_S_ii,20.8,185.68,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,17,3200,320,4,0,800,800,8,224,0,0,17,24,800,0,0,143,8,0,800,9252,497,8768,0,64,32,1024,0,230135,8996,0,0
11cb0c51bed6f300,_Z9matrixMulPfS_S_ii,19.488,387.76,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,149,0,0,800,9215,497,8768,0,64,32,1024,0,216544,8588,0,0
11cb0c51bfac0000,_Z9matrixMulPfS_S_ii,19.712,352.32,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,146,0,0,800,9229,498,8768,0,64,32,1024,0,215254,8804,0,0
11cb0c51c05b5fe0,_Z9matrixMulPfS_S_ii,19.296,330.24,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,148,0,0,800,9252,504,8768,0,64,32,1024,0,215301,8893,0,0
11cb0c51c12eca60,_Z9matrixMulPfS_S_ii,19.328,415.12,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,142,0,0,800,9219,500,8768,0,64,32,1024,0,215413,8792,0,0
11cb0c51c191ce00,_Z9matrixMulPfS_S_ii,19.2,421.72,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,151,0,0,800,9229,492,8768,0,64,32,1024,0,213126,8630,0,0
11cb0c51c23af160,_Z9matrixMulPfS_S_ii,19.52,417.84,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,140,0,0,800,9208,502,8768,0,64,32,1024,0,215872,8706,0,0
11cb0c51c28ca3c0,_Z9matrixMulPfS_S_ii,19.232,366.4,0.833,5,10,16,16,1,0,2048,21,0,-1,,0,0,0,320,32,800,800,0,3200,320,4,0,800,800,0,224,0,0,0,0,800,0,0,150,0,0,800,9244,499,8768,0,64,32,1024,0,213343,8666,0,0
