# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957f350a2d0
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0c5d9789d940,memcpyHtoD,2369.76,3625.4,,,,,,,,,,0,0,3276800,0
11cb0c5d97ca0580,memcpyHtoD,369.6,2089.68,,,,,,,,,,0,0,1638400,0
11cb0c5d982bcb60,_Z9matrixMulPfS_S_ii,5859.01,6063.04,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,914604,1369600,136960,214,0,51200,51200,913516,71568,0,0,914448,840576,51200,0,0,35685,916736,849708,51200,3465991,237884,3269976,0,3408,1704,54528,0,121734942,3074129,0,0
11cb0c5d98e3d360,_Z9matrixMulPfS_S_ii,5863.33,6168.64,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,915179,1363200,136320,213,0,51200,51200,909004,71568,0,0,913927,830256,51200,0,0,36188,907476,814560,51200,3465091,238405,3285328,0,3424,1712,54784,0,122149884,3074955,0,0
11cb0c5d9a1062a0,_Z9matrixMulPfS_S_ii,5858.59,6157.64,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,908671,1369600,136960,214,0,51200,51200,913012,71568,0,0,910631,824700,51200,0,0,36076,909028,819420,51200,3458741,238698,3285328,0,3424,1712,54784,0,121758653,3084451,0,0
11cb0c5d9af46780,_Z9matrixMulPfS_S_ii,5864.29,6263.68,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,909623,1369600,136960,214,0,51200,51200,911916,71568,0,0,911135,826860,51200,0,0,36954,908784,810552,51200,3453233,236689,3269976,0,3408,1712,54784,0,121667713,3072900,0,0
11cb0c5d9c4a29a0,_Z9matrixMulPfS_S_ii,5858.69,6271.44,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,914251,1369600,136960,214,0,51200,51200,909740,71568,0,0,908547,803100,51200,0,0,37076,910448,836724,51200,3461696,238207,3285328,0,3424,1704,54528,0,121616715,3070994,0,0
11cb0c5d9cf507e0,_Z9matrixMulPfS_S_ii,5857.06,6250.52,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,915143,1369600,136960,214,0,51200,51200,914724,71568,0,0,911167,829872,51200,0,0,36058,909836,817752,51200,3453587,235788,3269976,0,3408,1712,54784,0,121665040,3083889,0,0
11cb0c5d9ddb5b00,_Z9matrixMulPfS_S_ii,5855.36,6171.24,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,917943,1369600,136960,214,0,51200,51200,913948,71568,0,0,910371,820320,51200,0,0,36600,910952,822840,51200,3456505,235098,3269976,0,3408,1712,54784,0,122252417,3072320,0,0
11cb0c5d9ef1cda0,_Z9matrixMulPfS_S_ii,5859.2,6201.24,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,909227,1363200,136320,213,0,51200,51200,916848,71904,0,0,909147,828444,51200,0,0,37319,910420,833688,51200,3461984,237676,3269976,0,3408,1712,54784,0,121693517,3080390,0,0
11cb0c5da02c0760,_Z9matrixMulPfS_S_ii,5862.21,6439.08,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,911843,1363200,136320,213,0,51200,51200,912180,71904,0,0,912079,823656,51200,0,0,35611,915124,848424,51200,3463755,239114,3269976,0,3408,1712,54784,0,122071922,3085709,0,0
11cb0c5da14dc420,_Z9matrixMulPfS_S_ii,5862.08,6191.68,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,912419,1369600,136960,214,0,51200,51200,908812,71904,0,0,911583,821100,51200,0,0,35116,914804,857616,51200,3454264,236446,3285328,0,3424,1704,54528,0,121685941,3072787,0,0
11cb0c5da1f76500,_Z9matrixMulPfS_S_ii,5862.56,6173.76,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,908567,1369600,136960,214,0,51200,51200,910848,71568,0,0,911431,835188,51200,0,0,35500,912592,845892,51200,3453950,236706,3269976,0,3408,1704,54528,0,122211367,3084934,0,0
11cb0c5da322d8a0,_Z9matrixMulPfS_S_ii,5861.66,6207.2,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136960,1712,51200,51200,911487,1369600,136960,214,0,51200,51200,909884,71568,0,0,913623,826320,51200,0,0,36554,908680,827424,51200,3451166,236239,3269976,0,3408,1704,54528,0,121778925,3084583,0,0
11cb0c5da4607240,_Z9matrixMulPfS_S_ii,5858.24,6277.08,0.833,40,80,16,16,1,0,2048,21,0,-1,,0,0,0,136320,1704,51200,51200,916407,1369600,136960,214,0,51200,51200,911412,71904,0,0,910643,811320,51200,0,0,36626,907740,831348,51200,3464857,237461,3285328,0,3424,1712,54784,0,121632432,3085157,0,0
