# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957f7656580
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype
11cb0afd2c9e7d60,memcpyHtoD,0.992,4.92,,,,,,,,,,0,0,4,0
11cb0afd2ccc5a60,memcpyDtoHasync,47727.1,11.2,,,,,,,,,,1,0,67108864,1
11cb0afd2fad27c0,_Z10init_arrayPiS_i,50928,23.4,1,32768,1,512,1,1,0,0,5,1,-1,,0
11cb0afd32d38a00,_Z10init_arrayPiS_i,50947.5,20.08,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd35dcf960,memcpyDtoH,47619.1,100383,,,,,,,,,,0,0,67108864,1
11cb0afd3a1de120,_Z10init_arrayPiS_i,50942.3,23.28,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd3d273c00,memcpyDtoH,47608.8,122121,,,,,,,,,,0,0,67108864,1
11cb0afd400112c0,_Z10init_arrayPiS_i,50921.3,24.04,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd430a1bc0,memcpyDtoH,47591.5,98753.5,,,,,,,,,,0,0,67108864,1
11cb0afd45e54600,_Z10init_arrayPiS_i,50933.5,23.28,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd48ee7ea0,memcpyDtoH,47630.5,98784.3,,,,,,,,,,0,0,67108864,1
11cb0afd4bc9aba0,_Z10init_arrayPiS_i,50978.5,21.48,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd4ed39400,memcpyDtoH,47624.8,98885.1,,,,,,,,,,0,0,67108864,1
11cb0afd51afa380,_Z10init_arrayPiS_i,50921.8,23.84,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd54b8aea0,memcpyDtoH,47585.8,98654.3,,,,,,,,,,0,0,67108864,1
11cb0afd57922d60,_Z10init_arrayPiS_i,50942.6,23.56,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd5a9b8980,memcpyDtoH,47618.1,98709.5,,,,,,,,,,0,0,67108864,1
11cb0afd5d756960,_Z10init_arrayPiS_i,50920.6,22.8,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd607e6f80,memcpyDtoH,47609.9,98672.5,,,,,,,,,,0,0,67108864,1
11cb0afd63584660,_Z10init_arrayPiS_i,50931.3,23.36,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd66617660,memcpyDtoH,47611.6,98775,,,,,,,,,,0,0,67108864,1
11cb0afd693c9aa0,_Z10init_arrayPiS_i,50967.5,22,1,32768,1,512,1,1,0,0,5,0,-1,,0
11cb0afd6c465840,memcpyDtoH,47627.9,98747.3,,,,,,,,,,0,0,67108864,1
11cb0afd71484ea0,memset32_aligned1D,468,26.52,1,65534,1,192,1,1,0,0,3,0,-1,,0
11cb0afd714f7ca0,memset32_aligned1D,155.52,4.72,1,21848,1,192,1,1,0,0,3,0,-1,,0
11cb0afd7151ed80,_Z10init_arrayPiS_i,12650.8,5.76,1,8192,1,512,1,1,0,0,5,1,-1,,0
